class,Preprocessed
1,trethreat hotdoc duckydynamo yeah internet def taught bitch twerk talkin bout vote
0,tretyl actual non english okiecop filthi white trash crimin
2,tresharene make game last season look astro open yanke st april
0,treybizzi thought would like caus chi yeah faggot
2,treydo hallderik tolif fag got press ground hang cleat n never put back think
1,tribalfollow unfollow think shit use follow train gain unfollow caus pussi
1,trillbain bitch brain damag
1,trillvanillaaa bitch
1,trillvanillaaa bitch fuck
1,triplecz g offsetyrn lmao take thru quavo shit make hook offset da solid kno nicca tellin dat
1,trippinc nuteila hoe like
1,trippinc bitch tweet answer
1,trippi spiffi ayyyyyyeeeee nigga back bitch
1,trippi spiffi mite hit rec know cell marcu jax gone tri hit hoe
1,tristengqass help man nigga pussi rob chick shootin
1,tristengqass way rap fuck bitch amp banter money entertain crazi kingl
1,tristin swear de hoe make challeng
1,tristin tri one pom pomegran juic n swear tast like flavor piss dont ask lol
1,troyaikman shut yo hoe as
1,trueenoughehh lol one old bitch
1,truenovacan gonn comment caus closet hoe lol team getchoassoutdatcloset lol
1,trustnunbut aight bet bitch
1,truthandfashion noth say fashion like cunt hat
1,tryhardalbi bitch
1,tryhardalbi look like gon na blow someon fag
1,tryhardsilva thisti hoe
1,turdjerguson liquorfac yup pickin white bitch bare like chicken leg
1,twan bradley roniqueraw accid lmfao hoe trynna lowkey slick
1,tweenki thu term redneck also creator mock good excel precept daughter
0,tweetfrmthesol entir pat bandwagon faggot
1,tweetsandfreak told u ugli nigga get bitch young promis u work ya magic lol
2,twostarscoob good job tonight need eat cracker stop throw
1,twofif your fuck loudmouth ignor redneck fuck still tryin suck dick cant dumbfuck short
1,tytytooflyy got bitch name banana pussi banana swear got ta say pussi banana lil cool azz bitch da westsid
1,tylannol fuck pussi made mistak start cj spiller chri ivori week fuck
1,tylar xxjailynn tylar shut bitch usta make
1,tylar bet hoe
1,tylar ion sneak dis broke bitch
1,tylar ah lien as hoe
2,tylercarbon hey leav abbey oh get job slope might move back caus id lose lot money buy ticket
1,tylerdunn stripper sexi hoe follow man
1,tyler gale bellakov apmoral hous bitch
1,uberfact eat yo pickl bitch
0,uberfact studi show faggot
2,udrewhendersonu nope super chocolatey yummi browni
1,ultragoogl puto bitch spanish
1,unicorncowboy lvl eeve hisorraya mutha fuckah better bring browni ever
1,unicorncowboy lvl eeve ignor faggot c
2,universionrblx trash
1,uptownrais shame mama teach call woman bitch well fortun guess
1,vakil shut faggot ra need make album togeth ra fell cont http co nrmc
1,vg man bitch denial
1,vg piss male judg femal pussi gone judg get mad deni loo gap
2,vnnforum marxist kike promot anti semit creat film incent promot enemi
1,vrtwxrk flash yungchipotl young base god olymp stay fuckin bitch
1,vzwsupport updat pretti much broke g made absolut annoy retard
1,vaginaahol deeschronicl ie make hoe housewif
1,valentin r bitch whatev nigga u scare play
1,veronicalewi give hillbilli audienc squander everi time
0,versanch faggot drive stick
1,veshaacoutur lol bitch yo display name
0,vexda go jerk lolli faggot
1,vivala ari smh wrong wit u ho
2,victorb khshan yea live guess still got roof fix charli jeann
1,victorrico fuck hoe ask paco
1,victorrico want fuck steve bitch lmao
1,victorsmith lightweight heavyweight matter still knock bitch
2,victoria star haha monkey foot like real foot magic back smooth everi nook cranni tight
0,viewfromboxseat cunt
1,vinceschil vinc gener feel nativ know regard term redskin offens
0,vinniepolitan kill coon
1,vinniepolitan cunt need hand cut
1,viri braceface dont rais ur hand niggah
1,viri braceface niggah niggah lol
1,viri braceface problem niggah
1,viri braceface good niggah lol
1,viri braceface wassup niggah
2,voiceofapatriot bird one god creatur
1,wbeezi call bitch
1,wfopitei eat shit work nappi bitch
2,whascameradan might realli sure weird littl bird said might possibl stay tune mayb
2,whsvgrantcruis bird feather stand peta stand saniti
2,worstraplyrlc everyth jay z write trash
1,watch mark watch scenario normal would say must great pussi sinc seen true idk
1,watch scenario destini make titanfal bitch
0,watch scenario yeah better play ya nigger
1,waanderlust id chink left blue ball
2,wagz cold go around littl hick town everyon know lock hous better week stay well
2,wakeuppeep read w slant orig statement said everyth extrem comment made
1,walken gop godli u fuckin redneck peckerwood
1,walkerjensen yaaaasssss buhlowin timelin negro
0,walmart fuck store bitch
2,warriorrn mrgeolog infer tri ho nam dodg great leader
1,warriorrn peak war w join texa natl guard get outta nam fact bitch http co tnszm z
1,wassupbeama lol bitch nigga ima get gay homi
1,waytogofuck ashirieelov bitch
1,webeatbitch that trash ot
2,webantonyt btw jim crow law support democrat republican mlk republican fact
2,web bow ye da def da problem teacher spear chucker woulda gt dose rite
0,wendydavistexa gregabbott tx support illeg come spread diseas among american dream bitch
1,wendydavistexa gregabbott tx judg appoint obama doesnt see agenda fuck crook bitch
1,wendydavistexa hey windi dildo take trash buzzzzz
1,wendydavistexa msnbc msm said block flight africa racist yea right id vote bitch gold digger
2,wendydavistexa second add ruin new low pick crippl
1,wendygav say pedophil promot dolt lmao teabagg
1,we vl faggot
1,whale tail note say stop bitch flower lt get em everytim
1,whatabarb money car cloth hoe lol want success lol
1,whattheffact bullshit bitch show lana kane
1,whereyohussleat caymariee look shit imma bitch forreal
1,whereyohussleat remind yall cuz hoe act like know
1,whimze much hoe
1,whitekidwrap rt steal bitch
1,whodey sum bitch look good man pick one
0,whosjuli faggot like side state
1,whosealisha nigga spun around pussi
1,wichard fella warrenholstein mental flame fag seriou mental issu
1,willbur wolzgotbolz fight bitch
2,williamfbraski therandombon feel warm fuzzi
2,willstreakk tycff accord place kitchen excus take trash
2,willstreakk tycff trash meant u lmaooo
1,wimp w diesel real shit bro yo hoe told smoothi king straw ca fuck
2,wimp w diesel yu forgot beat yall that like garbag man call janitor trash
1,wisdom statur bitch coulda store look
2,wizard dnd jimzub tranni dragon eh know peopl love
1,woahitsjulian whatchu doin today nig
1,woahitsjulian wud nig got ta new number text
1,wolfgangabedeu nickfilancia clair ismon tea dick faggot
1,wolfgangabedeu bitch call miss dick
0,woodi afc mrgam r maniac x fuck outta faggot even fair
1,woodi afc lmaoo typic nig nog bomb got pic
1,woridstarfvnni alysssa bitch plea http co qysct ink
1,worldzwrestl use word faggot
1,worth billion bitch got fuck
1,worth billion mystroapollo bitch alway hatin lmao
1,wow bullet cuz thought got wife pick hoe im lovin song man keep come
1,wu pac bestfrycook stfu bitch
1,wuzzernam could get half band rt toekne gx fella dope femal follow state much pay pussi
1,wyattnuckel thought retard
1,wyattnuckel dariendaywalt hear dumb bitch said one like ohshitnigga
1,wyattnuckel grizzboadam bitch want
1,wyattnuckel grizzboadam glad could get daili dose giggl faggot
1,wyattnuckel grizzboadam hey faggot spell faggot right dipshit
0,wyattnuckel grizzboadam shut fuck fag ill beat shit outta
1,wyattnuckel matt petri yeah nigga get bitch matt fuck gay shit
1,wyattnuckel fake bitch meet school nigga
1,wyattnuckel caus ima blindsid shit outta niggah
1,wyattnuckel fuck bitch smd
1,wyattnuckel haha bitch
0,wyattnuckel insecur much put insult one tweet fuck dumbass dude wreck faggot
1,wyattnuckel smokin cali smoke fuckin bitch wbu
1,wyattnuckel shut niglet
1,wyattnuckel sun follow bitch shit stfu faggot
1,wyattnuckel learn read bitch
1,wyattnuckel think bitch
2,xanaxdream beani steal descript u salti fake
1,xnastyy lol probabl right fuck bitch spanish
1,xxxratedlipss alway want speak ppl convers twitter alway look like bitch idk real life smh
1,x xpdotjdot rememb dick lol want recommend shoot bitch show might snap
1,xianile boom bitch
2,xxminijokerxx hate bird piss fact fli
1,ybetoot like tweet like wen yu aint talk yo hoe like ill wait
1,yfn nesha tire dat bitch mannn
1,yfn nesha great qb fold pressur gshit u blitz peyton as gon gook
1,ygjohnston alway white bitch someth op lol like give zero fuck come dick
1,ygjohnston white bitch g choppin whole line nigga
1,yaboyboon ima miss smiley graham daniel tho pretti cool ima beat andrew bitch as everi day
1,yagirlflutt haha say damn call bad bitch mean mean bitch lmfao
1,yagirlsmal quit use song lyric queer
1,yaniggabuu janemba better yo pussi as
1,yamanakavalerio bitch til thursday
2,yanke marin daggon twin kick notch time beat yanke
2,yanke good thing season firecashman
2,yanke score matter spring train man
2,yanke fell asleep frizzl
2,yanke go away alreadi frizzl
2,yanke kind say brave make world seri lol
2,yanke probabl time put twitter feed bed nyy
2,yanke team suck
2,yanke ugh
1,yardieboyheem pussi watch nuh mi neva lov mon badmon
1,yaremisxo way hoe boo
2,yaremisxo whatev neymar trash
0,yeiiowbang hate faggot corni
1,yeiiowbang mannn mexican houston love high school freshman hoe
2,yeiiowbang yeah peopl know trash game limit show late game portland
1,yeahhhman way take order like littl bitch bitch
2,yellabeautykc home coon
1,yeridze bitch better watch run tabl tonight
1,ye kiki hey send song need put hoe cd bang em ride around
2,yessm shay want pom back lmfao
2,yessesmith born yellow
1,yg trece agre never know may beg get drop make pussi wet guarante marri right
2,youboysingreen hahaha made ya eat crow
1,youtalk iliv crazi wayn rap pussi song row
1,youlov tyler lol girrrrl bitch crazzzzi
2,youngjeezi got feelin like trappin dead got readi call guala salut da truth seenital seenitalltheautobiographi
1,youngrecklesss nahh bitch yu alway playn yu almost got feel hurt
1,youngrecklesss fuck da wat bitch wit uh fuckd mouf
1,yourdudeferg sammylightn wish wood like tree bitch
1,yourdudeferg wish wood like tree bitch
0,yourdudeferg gay fag
1,yourdudeferg like tree bitch asshat
1,yummi world thoughtsofrandi strocorleon bitch alreadi got past demon seed gone fuse
1,yungmigo bigmoneynique nicca fucc yu
1,yungmigo bigmoneynique lol send dat nicca clean talmbout n realli
1,yungmigo said pussi dat as yo tongu boy
1,yungmigo lol da reason talk bout da present cuz nicca hurt n play yr
2,yungcofgoa yearsahaitian need start mcbob william shoot let play bird
1,yungil everybodi dot mob red mickey factz battl clip wore ancient hong kong shit differ color hi top
1,yungil lifestyl raw dog one magnum put dickhead hole cumin pussi lip
1,yungobg hoe meter went
0,yungraje shit ill pay premium get away anyth as hoe
1,yungretweet bitch
1,yung messiah nomeek justmilz swear god log later post score everi social network bitch as nigga
1,yung messiah nah pussi
1,yvngherbo prayinforgem sup fat bitch
1,zelno someon told cuz ppl like use bitch femal like call femal meh shrug
1,zelno one sick bitch
2,zp littl girl tom sawyer get trap cave along injun joe almost die injun joe die find treasur
1,zrexxx slowdollaz take bitch reciev head mom
1,z mega fasho fasho hurri ya as nicca
1,z g wow love call slut realli ever cheat girl bitch dumb
1,z g thirsti hoe
1,zachfulton got cold white hoe knoxvil tho right strip boaaa
1,zachirv call peopl kike lot fuck
1,zach dorsey thirsti hoe
1,zach thein pussi
1,zaksitton lol cracker
1,zaneisclask garrett winker like pussi would asham
1,zaneisclask photoshop put head fag proof
0,zaneisclask fuck r u talk told u go tell u nigga love white bitch gtf bro
1,zaycoolaf yeet got ta least drop bitch like month interv shit
1,zayyswanson emanimilan ju tryn figur dem nicca togeth like dat
1,zedd finger throb pussi flap
1,zell gotdaloud bitch tryna get free promot n shit lmaooo see tha cut
1,zhugstubbl eat bitch
1,zhugstubbl meet eat bitch
1,zhugstubbl meet molli whoop yo bitch as
1,zhugstubbl naw nigga em hand happen shit talk coupl month ago eat bitch
1,zigzagsxkush kati clear lake hoe
1,zitlalyl suppos attract bitch tutu though
1,zitlalyl gon na get dem bitch
0,zohdaa fag
1,zonozi quantrys hockeypuck classic drunk carter text never fail hey stfu come oop come fuck outsid bitch
0,zwaaad fag
1,zwengersierra bitch
1,kkz lol bitch indian op
1,ali babi well least go somth bitch even wrong thing
0,andrizzi aw drake sit corner cri listen lmfao pussi dick rider drake cock tast faggot
1,andsss cool cool fuck wit u nicca
1,angeel thirsti as hoe go sleep
2,bdoe bro u trash zombi
1,b r c e happen go fish bitch
1,bada bing continu turn pussi lol
1,batgangbitchh hoe
1,beautifulkeezi darwinjam point ppint bitch
1,beautifulkeezi bitch die read
1,beautifulkeezi bitch wea go
1,beautifulkeezi lmfao bitch talk
1,beautifulkeezi yes bitch messyyi
1,beverlynohil bitch hold real nigga fa long bruh ask mama pay ticket fa
1,beverlynohil fuck nasti got held wrong pussi tell bet ever kiss break w u
2,bradleyc skate trash skate goat dlc
1,brwnskinbeaut ahh much bitch live campu get lazi want drive home
0,c parri pictur make look like seriou fag justsayin lol
1,calistrong lol possibl hoe treat right way love right way hoe hoe
1,calistrong lol think right way amp wrong way love someon hoe may love got
1,charliea sean landez littl punk as bitch doe
1,corayma luivillesluggah tf look like deliveri bitch ahaha
1,dcornoth kyariesda got tire hear eat pussi way like damn
2,dracheoffici tri alway hit alt f eat mega stuf oreo figur program lol
1,dbankss orr tht lor bae tho wyd u fuck hoe
1,dingyyybritt look said ll new era girl bye kill bitch w kind amp amp wht cousin
1,djweezlov said want dj mix track regardless use video gon dumb retard reg versi
1,dreamchas aint nobodi got time fo dat ghetto black ladi voic
1,dukefan kentuckyfanpag that regular season loss retard
1,eb game bigbbrown fuck hoe lol
1,elenaraquel swag bitch aha
0,goldwhippp faggot old peopl peopl drive drunk peopl
0,iamken fuck brett farv redneck as stuckup give damn lol campu act like shit
0,iamken make team nigga trash lol
1,iamdriven hdrealtor even sure bro im ignor hurt bitch tonight lol
1,iamquinichol song ion kno refer futur wife bitch
1,inhalelov bitch love alex target
2,jaelynbeee somebodi look like die first tube flappi bird lol
1,jame kirbi mfluri back ya queer bag
1,kaeejon got ta find know cali got hoe
1,kaeejon lmaooo boy thought w type right spell hoe
1,kaeejon bird gone run as
2,laker life traci morgan sad comparison come tri dwight howard accur stupid monkey
1,leeyoo goldflacko niggah yo lil bro fuck
1,leeyoo niggah
1,lezzzbehonest color suppos good influenc
1,lezzzbehonest bitch
1,lifeofsin theeepp bitch
2,linsan derrrrrrr st song actual good compar trash she showman omg
1,lranderson hoe
1,maniac mind marcfoor stfu gon na fuck oh pussi ad nigga
1,maniac mind jet life nick bitch u one steadi talk stfu bout shit hoe as nigga
1,maniac mind jet life nick said stop put word mouth someth bitch would
1,maniac mind got beef tell yo boy alex stop act like bitch bring duck as
1,mariapetrova markkelli missstef samharrisorg ok right wing teabagg gun nut like harri hell even fuck cop
1,marzzz nigger
1,mckenzienoel miss bitch
1,mostdop jenni say evil bitch
0,nadiaxo fag
1,nolackingg kinda figur lil bit u said bitch u cute
1,prawda die oh bitch exit mention last era huge album tour golden globe cont http co gkujxiadep
1,perarl bitch thick bitch as tv want
1,perarl need date grandma turnt lil pussi as bro call lil babi name like lame amp dork
1,rachel robbin realest bitch rt
1,renaissancejay send box droid da mile nigga got da dro droid na drum fo pussi boy yeer
1,renaissancejay get loredo steak dat bitch u ballin
1,renaissancejay nigga stop hatin bitch feelin coolio b n two u think dem bitch made nigga got yo back u smokin big worm shit
1,renaissancejay pussi
1,reneashac rishaawilliam hoe yu erbodi bitch
1,richhomiekevin go sleep niggah lol
1,saltlif lol chill pussi
1,saltlif long stori lol miss faggot
1,sincer lmao hoe extra sensit via text swear hear tone everi letter start use punctuat
0,soulsurvivor zakbauer dont problem zak seem like faggot http co nbfaarxvrp
2,sparklelikezen save browni
1,squeezemebabi tell dumb hoe
1,starrhal rene gadecowboy absolut speechless bitch crazi
1,tajmah el padrino abellaxxx lmao fa real cuz realli saw throw dat bitch circl lol
1,vibe bitch gretchen weiner want
1,theblacknerd wyd fag
1,thecrownedhead bitch
0,triggapleas kanyewest faggot
1,triggapleas nigger hello
0,turndowndr jordan grime kushdaddycorr trob waddup true idk even convo dumb nigger attent whore
1,turndowndr kushdaddycorr smell fri chicken as mile away boi clean nasti as ear ratchet bitch
0,turndowndr kushdaddycorr lmao stupid nigger
1,vivmmxii yuhh finna hit hoe
1,wordtothewis mani time listen pussi song today
1,wordtothewis hoe shit
1,wordtothewis must sent bird call get shit
0,xoxokelsey hell naw fuck bitch serv right
1,ydotm realli thou im look like hulk hogan bitch
1,utcast said oh nah ur dude get heartless bitch met
1,black jesu bitch u know mean spell champ nut
0,black jesu yea forgot talkin degener faggot
1,c h n g daughter date littl fag bag bekkalina pimpslapncow http co sabx mcu
1,dattootiegurl hoe cook
1,dutch bitch stop hate immacul suit
1,dutch birthday hath alreadi pas littl fanfar enjoy day bless bitch
1,motomoto real bitch
1,nikesnshit better ima let bitch slide right standbi
1,taesavag pussi
1,trail take like tamu bitch jump beat sc good thejournalist guyjeff
1,asiaj lol bro said bitch u
0,faggot
1,kd need bitch
1,angieex ik pussi
1,baabyshaay okaaaaay bitch never care edg still laid
0,hannerr faggot
1,kiant im askin negro lol
1,ajayb cri im bitch piss cop tri charg hole bunch bullshit p
0,angelaaau hey fag lt
1,asheyk pussi
1,bradleey lmfaoooo yooo lost elev pas even share bitch want go get anoth one even tho know
1,bradleey like bitch struggl use stair let ppl get
0,cblaze barbod fcb oddbeast man bitch gon na damn thang u like got say unfollow
1,cblaze kieffer jason ask boy jason keiffer still tryna get one one block pussi boy
1,cblaze sorri eat pussi
1,chrisbrownn fuck bitch get money
2,dimejii know samklef said lie man guy think beast naija pop music trash wizkid
1,dinora e jk would bitch got done
0,elennamichel nope stuck hous full fuck nigger help escap
1,elennamichel ur around got ta keep dat scent keep filthi nigger away
1,fckwatchuthink huntermoor know could go drink bleach bitch
1,fullawhit haha nigga coco wait fuckkk like hunna hoe summer haha jk
1,fullawhit rt wey went job interview high bitch straight stank like dank haha eye red hoe
1,igoth bitch dont talk like bro
2,icantmiss boy still got bird cage lol
1,icantmiss send hoe
1,illionair take hoe lol
0,jeff hank lgreiner raycewarden bigjohn studd shut nigger
1,justlexi lol whatev fag
1,lexisperez ate pussi could
1,littlepuffin saw bad bitch mf switzerland feel love
1,littlepuffin hoe
1,lostb meant bitch scum
1,lostb bitch boy
1,lostb bitch w dick
1,lynnogawa bitch
1,michellecol nice hoodi faggot
0,n k nak statu report make pit stop canada rape bitch
1,nowashington like hoe
1,nowashington hoe like
1,puderbaugh bitch get two
1,queenveronica haha yolo ya hit hoe
1,reathi man bring yo bitch as ion give dam bout yo mf attitud
1,reathi u better sit yo as bitch til
2,shegotthi yellow rice black bean pork chop si
2,spenceyi so scanger
1,tee softestmuffin torahblaz spread filth ur white dog amp good ol boy ltao fuckin monkey
1,tee softestmuffin torahblaz u lost puppi dont know shit leav nigger alon u learn someth besid like
1,tee torahblaz tommygun softestmuffin let one dingi real nigger dog catch miss torah dont want thot shit
1,thedariu bitch get job first
1,thedariu bitch look shit
1,thedariu bitch
1,thedariu boy clean bitch
1,thecrav funni tweet ashi nigger
1,tiffanycart bitch im mad slap
1,tiffnasti bitch great valuabl pussi alway make use protect mani nasti dick nigga
1,tiffnasti nigga didnt desrv bitch first place
1,tiffnasti ye love make em masturb voic bitch love southern accent
1,ton zz life aint shit bitch money pas weed like studi
1,tonydenni trash ik want fuck dorsey
1,travvv pussi http co axm pcw
1,turtl gang let fuck hawt bitch foam glow
0,westwest yall phampel woohoo new black kill cracker babi panther rescu racist trash thug ferguson fergusonriot
0,womanoverboard nigger
1,wordtothewis hurt im wtf fuck daniel bitch
1,xpriceless casio datguy bitch get punch tf lol
1,xpriceless casio datguy bitch u got fuck
1,xpriceless bitch take dat shit imediatli
1,xpriceless bitch u forcin talkin famili shit watch
1,xpriceless bitch u got fuck go suck lil action whamm like u alway thursday friday think ik u
1,xpriceless correct bitch yo illiter as wan na eat pussi got center street boy dat u suck nun major
1,xpriceless naw fuck u bitch go suck cartier
1,xpriceless ok bitch damn even tierd phone die
1,xxsarafina haha hoe go hard rt
1,abartick bitch purpl short aqua beat
1,murda happi birthday bad bitch
1,aaliyahhhm knowww righttt even know use shit updat statu hoe
1,aaryneliza im n hate elissa fake as cunt
0,aasthaxoxo oh shut mouth talkin morn fag
1,aayme fuck retard drink tonight
1,abbey kuck whoop as turnin pussi
1,abbywiseman haha bitch team
1,abdashcol x nation natalieschroy fuck raptor fun tranni fail k mile
2,abdullah omar come guy whose sole qualif cm lucki sperm
1,actionlljackson unless bitch word awesom wrong
1,adamjferraro actual boy right dorki as mom amp dad watch streit make bitch
2,adnanespn houston top five ahl attend aero transplant snow bird would love team
1,adorianlovee man fuck bitch http co oixhg jtv
1,aerinblazin right okay bitch
1,afuehr littl bitch emot cuz feel
1,ahimla want either suck pig ar muzzi biotch get phuck go back hellhol life
1,airam like bitch better chill oh hey maria
1,airam shit wish social accept beat bitch as lmao
1,airwolf noinfidel tedcruz sarahpalinusa twshannon alaska noth go noth noth bitch law
2,aj amaz obispo ho big
1,aj amaz alreadi know mane sinc th grade killin hoe
1,ajam never happen much republican redneck oil money sad butt true corruptamerica
1,ajbruno jamesokeefeiii jdhayworth nope term use mock teabagg scum like three better luck next time pal
2,akarekt ladyvodkax go air bad air next browni
1,akayankee bitch probabl deserv lol
1,alammu wesideconnect arbitrarydesign damn jehu michaelsayeth fellow anarchist quit vagina p like jr high bitch
1,alammu small man syndrom usual deep huge pussi join author compens weak ego
1,alanaaaaaa pussi
1,alanaaaaaa laugh hoe
2,alberdough check cash corner el cajon calwood across steer pollo loco
0,aldofelix naw dude wish white trash
1,alesiahenderson wat faggot
1,alexbenovich run pussi
1,alexiscarfield thought sheeba sheeba got as lookin like zebra
1,alexiscarfield ya damn right nigglet
0,alexissert leav dyke
1,alexissixela stfu your pussi sit as nois
1,alexisxisabel death attent hoe
2,alexnolan claddo takutaneka regankelli ill give tip bewar ugli bird hide behind massiv lens sunni
1,alexric wow like year late bitch
1,alexroja pussi
1,alexroja yo fag roja
1,alexxx carr nick sit talk u would gon na someth bitch
1,alexxx carr bitch
1,alicianotalisha idk went school like week ago bitch gave paper shit tell class paid
1,alisha serv that wassup u got bitch send booti pic tho lol
1,alizahwi make yo bitch open leg
1,alliemathew tweet text back ok fag
2,allsportsbruh qb season trash brought veteran could someon play
1,allsportsbruh liter retard drop head
0,allsportsbruh say wast draft pick manziel mallet tell delet account retard
1,allyssasss fag back
2,almuirsi probabl yeah account person handl though wear yellow suit put point
1,alneezi hung dude fuckin bitch mauimescudi
1,alwayznpolo fuck cop fuck tarah bitch elong nose shape like hors dick tarah dactyl
1,alyssadugan cri still even talk even though supposedli shadi bitch confront lol
0,alyssawien faggot
0,amandabyn give cloth look like cute dyke
0,amarierubio chink eye
1,ambitiousbre trueee wait til day bitch tri
1,amck sound like prenup gon na cash appar ghetto credit magin
1,amer n joeylattim christian keep laugh fuck u instead pussi bitch
1,amyklobuchar amp tri beat much weaker creepi as cracker dead zimmerman woman
1,anandpradhan kavita krishnan funni read retard liber tweet anand u delet salwar tweet anyway say hi digvijaysingh
2,andersondrlja sick self serv politician stand bo trash america wearerepublicnotregim impeachobama
1,andreajmarkley gantaro ye sorri grant bitch go ignor like libtard ignor major voic
1,andrewzoudo blvckbrick still gon na smack fuck tri act hard twitter haha pussi as nigga
1,anepicnam reason give ahv fuck catalog bitch arcad game fire
1,angelo gl tommi russel yall aint gon get stitch pussi
1,angelo gl oh yea lo aka mr bitch lmao
1,angelo papal lol ya need sum beacg bod ab pussi boy
1,anggxo get twitter fag
1,anniec ugli white bitch
2,antiamnesti appsam whitehous agre natur citizenship anchor babi amnesti go parent countri origin
1,apmoral got ta keep fight bro thea hoe tri bring thestrugl
0,aravosi may jump u ball le dick wad conserv feminist disabl vet bitch wish u luck capit f dloesch
1,areuseriousrn harmon lauren okay get bitch dick anyway thank tip
1,argylegray jtrevorhowerton hollyrfish give fli fuck think tweet worthless teabagg scum
2,ariennajane mutual lil yellow bone
2,ariennajane that youz yellow bone
1,arionne cuz know play witchu aint call yo mama bitch say yo brother ugli af
1,arionne smh iont understand fuck hoe
1,artiequitt fuck em take joke liber pussi think joke sarah palin amp daughter funni
1,aschop absolut agre statement amus angri make teabagg scumbag alon worth
1,asdfgheatherr tonight gon na hoe tomorrow
1,ashez mskyleighmari bitch
0,ashhruggiero happi birthday queer
2,ashley smith color contact
1,ashleyasatu lmaoooo call hoe mad shutcho uglass
1,ashleyrik sick bitch
2,ashleyypat im trash ur trash sinc bae
1,asiahh alright bitch hope someon delet life suck dick get hit buse
2,asiahh nah repli like liter everyon el call trash go check believ
0,asshol king oh draft gay as come tv well u welcom redskin nation queer lot nigger
0,asshol king pat owner kike
0,asshol king pill nig last year like magic j nig hav die year ago first team draft gay
1,asshole hoe
1,atheistfront cutrealti perez ath stp wer yea spell check bitch let stay topic
1,atownbrown carminezozzora lol work well black folk past better bring cracker um
0,atspac nigga hoe suck wayan brother funni jami foxx number
2,aurabogado el negro
1,austin farrar yeah way block fag scare go hit girl tough make tough enough know beat
0,austin farrar fuck queer faggot bitch
1,austinrea sbsylvest hunterbuch kieffer jason bitch wtf said christoph chri mf
2,awfulbot pig bird
1,b s beat pussi
1,b ssladyr go sleep bitch
1,b ssladyr lmao wish bitch
2,b ssladyr ate wee browni see random cat
1,b ssladyr lmao know kitti master hate bitch
2,b gsean let say hellen keller make better browni
1,b scheich salut bad bitch
1,b shiznitt italian montana wtf bitch seen without
1,b shiznitt cum thru bitch
1,b shiznitt fuck bitch
1,b shiznitt fuck bitch
1,b shiznitt want let everyon know download whole acoust justin bieber album fag
1,b shiznitt good pussi
1,b shiznitt lie bitch
1,baaaabyshaaaay niggah
1,baaaabyshaaaay ununnnn plan text niggah
1,baaaabyshaaaay yassss bitch
1,baaaabyshaaaay spit sprite niggah yo smart as mouth deserv amp well stfu lol
1,babynacca zneezi good boy need pussi damn
1,babyspittl kimmyincali martinishark senatorreid still blame bush fuck retard
0,bad boy six ksteven ya go wetback eat http co kf pgzvh g
1,badluckbella lil nig
1,badnewsbridget morbidmermaid evanbeck lie sack shit know love lesbian jk jkbridgeturstraight fag
1,badnewsbridget lol fag
0,badshah ur pal stlabubadu threat apost kufar gt cld cut ur neck w sword islam amp watch u squeal like bitch like daniel pearl
2,baileymw sole reason come chipotl inca know keep good work babe
2,ballzahoy cowboy killer
2,basedgvb trash
1,baskgod nah clowney bitch nigga
1,bayjackson lol crew actual hoe
1,bbhair get famou buyin yo art bitch dat shit da crib
1,bbluedreamm chri cruz hunglikerobbi kenna stfu quit bein bitch tellin robbi stop god
1,bbluedreamm chri cruz hunglikerobbi bitch
1,bbluedreamm kelliestebbin origin faggot
1,bbluedreamm bitch repli
1,beautifulbeee ye everi guy bitch today lol smh
1,beejohn gon na find redneck girl one day
1,beenlam fucktravonn faggot
2,beepbeepamanda today talk like pirat day absolut nobodi knew id charli morton imperson day
0,beesand call white trash money
0,bellaangeletti ud still fag lolz
0,bellaangeletti ur fag
1,benshapiro teabagg babel fuck masturb timtebow hate gay r success
1,bernadettvajda alway put ginger red yellow leopard print
1,bestassbestfac omg ur final lose ur patienc caus ur hoe love stop laugh
2,beth steak either hurri browni pictur u post made drool phone
1,betysweetcock white woman pussi
1,bigdickdoan posit thought nig nog
1,big busi lmao dog type let faggot tri deciph
2,big msudawg oh state enjoy trailer trash sub par sport
1,biggerboat plea littl depress bitch entir time
1,bigksmoov hoe look good
1,bigshaadswerv alejandro bihhh seen hoe
1,bigshaadswerv yea tj hoe dunk everyth tk hit shot juelz handl bitch
1,bijoudulcet gemini rule hoe
1,bill gain morningjo atf charg prosecut case teabagg republican confirm director lead agenc
2,billyeichn sinc tomcruis hoser hi
2,billyrunaway hope larger bird
1,binniemous bitch kill vibe
1,bitchdicknigga yeah cum itch slit babi cake
0,bitchdicknigga fuck nigger
1,bitchkrieg hbic head bitch charg lol
0,bitchkrieg like new avi twitter retard show cub hat stalk profil show new one
1,bitchsid bitch ihi
2,bitti boop oreo cooki sound wonder
1,bjohnson follow love bill may bitch never quit
2,blackrepublican long name chang al memorabilia w redskin name deem racist therbi illeg
2,blackymil lol get yellow bleach stain use bake soda hydrogen peroxid past stain throw washer
1,blakeshelton come bitch boy http co yasxoqnlea
1,blastmccurdi dream littl leprechaun hemroid
2,blowm mean trash
1,bm bitch nake
0,bnp overrun mongrel zog jew run countri want white man perish
2,bocgeogaddi anepicnam lmaooooo epic bird win
1,bogglethemind aj fli portug amp open whoopass sinc start zoom still run bitch
1,bongwynnn wow faggot
